ID,数学,判定
19990286,46,不合格
19990287,38,不合格
19990288,76,B
19990289,8,不合格
19990290,37,不合格
19990291,44,不合格
19990292,37,不合格
19990293,12,不合格
19990294,88,A
19990295,36,不合格
19990296,70,B
19990297,69,B
19990298,35,不合格
19990299,99,A
19990300,69,B
19990301,87,A
19990302,38,不合格
19990303,58,不合格
19990304,49,不合格
19990305,83,A
19990306,89,A
19990307,38,不合格
19990308,41,不合格
19990309,60,B
19990310,86,A
19990311,93,A
19990312,21,不合格
19990313,87,A
19990314,47,不合格
19990315,6,不合格
19990316,77,B
19990317,42,不合格
19990318,74,B
19990319,2,不合格
19990320,73,B
19990321,53,不合格
19990322,51,不合格
19990323,37,不合格
19990324,25,不合格
19990325,6,不合格
19990326,17,不合格
19990327,85,A
19990328,29,不合格
19990329,71,B
19990330,68,B
19990331,56,不合格
19990332,28,不合格
19990333,6,不合格
19990334,37,不合格
19990335,81,A
19990336,4,不合格
19990337,56,不合格
19990338,81,A
19990339,17,不合格
19990340,11,不合格
19990341,83,A
19990342,93,A
19990343,22,不合格
19990344,96,A
19990345,21,不合格
19990346,7,不合格
19990347,87,A
19990348,35,不合格
19990349,76,B
19990350,67,B
19990351,36,不合格
19990352,61,B
19990353,9,不合格
19990354,47,不合格
19990355,26,不合格
19990356,30,不合格
19990357,76,B
19990358,55,不合格
19990359,16,不合格
19990360,66,B
19990361,87,A
19990362,39,不合格
19990363,22,不合格
19990364,79,B
19990365,38,不合格
19990366,50,不合格
19990367,23,不合格
19990368,5,不合格
19990369,16,不合格
19990370,17,不合格
19990371,16,不合格
19990372,37,不合格
19990373,20,不合格
19990374,19,不合格
19990375,72,B
19990376,12,不合格
19990377,62,B
19990378,57,不合格
19990379,34,不合格
19990380,62,B
19990381,14,不合格
19990382,53,不合格
19990383,77,B
19990384,75,B
19990385,60,B
19990386,33,不合格
19990387,50,不合格
19990388,38,不合格
19990389,71,B
19990390,26,不合格
19990391,13,不合格
19990392,25,不合格
19990393,41,不合格
19990394,81,A
19990395,31,不合格
19990396,10,不合格
19990397,46,不合格
19990398,0,不合格
19990399,95,A
19990400,79,B
19990401,94,A
19990402,15,不合格
19990403,0,不合格
19990404,88,A
19990405,36,不合格
19990406,54,不合格
19990407,94,A
19990408,25,不合格
19990409,48,不合格
19990410,12,不合格
19990411,6,不合格
19990412,87,A
19990413,84,A
19990414,77,B
19990415,25,不合格
19990416,95,A
19990417,53,不合格
19990418,21,不合格
19990419,1,不合格
19990420,21,不合格
19990421,82,A
19990422,23,不合格
19990423,83,A
19990424,81,A
19990425,2,不合格
19990426,13,不合格
19990427,72,B
19990428,16,不合格
19990429,35,不合格
19990430,18,不合格
19990431,49,不合格
19990432,56,不合格
19990433,81,A
19990434,13,不合格
19990435,62,B
19990436,93,A
19990437,2,不合格
19990438,40,不合格
19990439,69,B
19990440,17,不合格
19990441,99,A
19990442,49,不合格
19990443,19,不合格
19990444,81,A
19990445,5,不合格
19990446,51,不合格
19990447,33,不合格
19990448,86,A
19990449,36,不合格
19990450,43,不合格
19990451,58,不合格
19990452,13,不合格
19990453,23,不合格
19990454,5,不合格
19990455,28,不合格
19990456,25,不合格
19990457,21,不合格
19990458,50,不合格
19990459,54,不合格
19990460,53,不合格
19990461,60,B
19990462,52,不合格
19990463,28,不合格
19990464,77,B
19990465,14,不合格
19990466,34,不合格
19990467,98,A
19990468,65,B
19990469,15,不合格
19990470,18,不合格
19990471,71,B
19990472,11,不合格
19990473,10,不合格
19990474,76,B
19990475,56,不合格
19990476,15,不合格
19990477,53,不合格
19990478,53,不合格
19990479,48,不合格
19990480,73,B
19990481,74,B
19990482,29,不合格
19990483,9,不合格
19990484,26,不合格
19990485,32,不合格
19990486,71,B
19990487,5,不合格
19990488,2,不合格
19990489,33,不合格
19990490,40,不合格
19990491,70,B
19990492,65,B
19990493,57,不合格
19990494,80,A
19990495,9,不合格
19990496,5,不合格
19990497,27,不合格
19990498,62,B
19990499,11,不合格
19990500,26,不合格
19990501,21,不合格
19990502,21,不合格
19990503,45,不合格
19990504,40,不合格
19990505,90,A
19990506,12,不合格
19990507,28,不合格
19990508,81,A
19990509,12,不合格
19990510,96,A
19990511,1,不合格
19990512,19,不合格
19990513,43,不合格
19990514,43,不合格
19990515,64,B
19990516,48,不合格
19990517,71,B
19990518,42,不合格
19990519,99,A
19990520,34,不合格
19990521,19,不合格
19990522,95,A
19990523,23,不合格
19990524,3,不合格
19990525,0,不合格
19990526,68,B
19990527,36,不合格
19990528,34,不合格
19990529,55,不合格
19990530,96,A
19990531,35,不合格
19990532,30,不合格
19990533,96,A
19990534,40,不合格
19990535,31,不合格
19990536,77,B
19990537,11,不合格
19990538,12,不合格
19990539,77,B
19990540,70,B
19990541,78,B
19990542,21,不合格
19990543,43,不合格
19990544,5,不合格
19990545,85,A
19990546,41,不合格
19990547,78,B
19990548,61,B
19990549,41,不合格
19990550,56,不合格
19990551,61,B
19990552,21,不合格
19990553,34,不合格
19990554,49,不合格
19990555,45,不合格
19990556,14,不合格
19990557,7,不合格
19990558,10,不合格
19990559,80,A
19990560,32,不合格
19990561,31,不合格
19990562,28,不合格
19990563,97,A
19990564,56,不合格
19990565,41,不合格
19990566,84,A
19990567,88,A
19990568,95,A
19990569,98,A
19990570,75,B
19990571,79,B
19990572,28,不合格
19990573,49,不合格
19990574,81,A
19990575,28,不合格
19990576,16,不合格
19990577,93,A
19990578,30,不合格
19990579,64,B
19990580,29,不合格
19990581,30,不合格
19990582,65,B
19990583,31,不合格
19990584,86,A
19990585,17,不合格
19990586,45,不合格
19990587,96,A
19990588,81,A
19990589,85,A
19990590,76,B
19990591,73,B
19990592,26,不合格
19990593,47,不合格
19990594,98,A
19990595,51,不合格
19990596,53,不合格
19990597,97,A
19990598,49,不合格
19990599,74,B
19990600,50,不合格
19990601,38,不合格
19990602,17,不合格
19990603,7,不合格
19990604,98,A
19990605,56,不合格
19990606,24,不合格
19990607,45,不合格
19990608,57,不合格
19990609,72,B
19990610,77,B
19990611,5,不合格
19990612,46,不合格
19990613,61,B
19990614,75,B
19990615,2,不合格
19990616,92,A
19990617,62,B
19990618,0,不合格
19990619,71,B
19990620,85,A
19990621,23,不合格
19990622,97,A
19990623,11,不合格
19990624,16,不合格
19990625,56,不合格
19990626,74,B
19990627,16,不合格
19990628,3,不合格
19990629,68,B
19990630,11,不合格
19990631,87,A
19990632,91,A
19990633,46,不合格
19990634,28,不合格
19990635,55,不合格
19990636,84,A
19990637,36,不合格
19990638,65,B
19990639,20,不合格
19990640,36,不合格
19990641,14,不合格
19990642,35,不合格
19990643,45,不合格
19990644,70,B
19990645,64,B
19990646,43,不合格
19990647,40,不合格
19990648,75,B
19990649,62,B
19990650,93,A
19990651,41,不合格
19990652,2,不合格
19990653,95,A
19990654,53,不合格
19990655,13,不合格
19990656,28,不合格
19990657,1,不合格
19990658,34,不合格
19990659,98,A
19990660,78,B
19990661,74,B
19990662,36,不合格
19990663,64,B
19990664,44,不合格
19990665,80,A
19990666,92,A
19990667,80,A
19990668,3,不合格
19990669,87,A
19990670,82,A
19990671,53,不合格
19990672,43,不合格
19990673,93,A
19990674,40,不合格
19990675,33,不合格
19990676,62,B
19990677,92,A
19990678,11,不合格
19990679,75,B
19990680,95,A
19990681,87,A
19990682,97,A
19990683,49,不合格
19990684,8,不合格
19990685,46,不合格
19990686,80,A
19990687,82,A
19990688,24,不合格
19990689,11,不合格
19990690,7,不合格
19990691,52,不合格
19990692,70,B
19990693,6,不合格
19990694,21,不合格
19990695,29,不合格
19990696,36,不合格
19990697,3,不合格
19990698,38,不合格
19990699,20,不合格
19990700,14,不合格
19990701,73,B
19990702,37,不合格
19990703,68,B
19990704,9,不合格
19990705,5,不合格
19990706,88,A
19990707,61,B
19990708,17,不合格
19990709,84,A
19990710,59,不合格
19990711,31,不合格
19990712,28,不合格
19990713,47,不合格
19990714,66,B
19990715,74,B
19990716,70,B
19990717,82,A
19990718,2,不合格
19990719,54,不合格
19990720,5,不合格
19990721,86,A
19990722,44,不合格
19990723,91,A
19990724,55,不合格
19990725,81,A
19990726,60,B
19990727,86,A
19990728,94,A
19990729,10,不合格
19990730,71,B
19990731,61,B
19990732,91,A
19990733,30,不合格
19990734,22,不合格
19990735,80,A
19990736,54,不合格
19990737,79,B
19990738,87,A
19990739,32,不合格
19990740,88,A
19990741,36,不合格
19990742,95,A
19990743,76,B
19990744,51,不合格
19990745,67,B
19990746,19,不合格
19990747,55,不合格
19990748,83,A
19990749,79,B
19990750,5,不合格
19990751,25,不合格
19990752,30,不合格
19990753,47,不合格
19990754,54,不合格
19990755,10,不合格
19990756,80,A
19990757,6,不合格
19990758,38,不合格
19990759,6,不合格
19990760,11,不合格
19990761,90,A
19990762,35,不合格
19990763,84,A
19990764,90,A
19990765,26,不合格
19990766,93,A
19990767,13,不合格
19990768,73,B
19990769,30,不合格
19990770,24,不合格
19990771,51,不合格
19990772,70,B
19990773,26,不合格
19990774,56,不合格
19990775,73,B
19990776,85,A
19990777,28,不合格
19990778,70,B
19990779,28,不合格
19990780,54,不合格
19990781,40,不合格
19990782,68,B
19990783,76,B
19990784,75,B
19990785,25,不合格
19990786,4,不合格
19990787,96,A
19990788,12,不合格
19990789,57,不合格
19990790,66,B
19990791,65,B
19990792,99,A
19990793,57,不合格
19990794,25,不合格
19990795,13,不合格
19990796,76,B
19990797,55,不合格
19990798,31,不合格
19990799,54,不合格
19990800,0,不合格
19990801,15,不合格
19990802,78,B
19990803,28,不合格
19990804,13,不合格
19990805,34,不合格
19990806,88,A
19990807,57,不合格
19990808,99,A
19990809,23,不合格
19990810,71,B
19990811,53,不合格
19990812,29,不合格
19990813,67,B
19990814,40,不合格
19990815,92,A
19990816,63,B
19990817,59,不合格
19990818,33,不合格
19990819,15,不合格
19990820,83,A
19990821,38,不合格
19990822,10,不合格
19990823,37,不合格
19990824,42,不合格
19990825,4,不合格
19990826,37,不合格
19990827,63,B
19990828,40,不合格
19990829,46,不合格
19990830,60,B
19990831,21,不合格
19990832,96,A
19990833,53,不合格
19990834,54,不合格
19990835,88,A
19990836,48,不合格
19990837,71,B
19990838,32,不合格
19990839,93,A
19990840,24,不合格
19990841,40,不合格
19990842,8,不合格
19990843,47,不合格
19990844,57,不合格
19990845,13,不合格
19990846,89,A
19990847,60,B
19990848,83,A
19990849,99,A
19990850,23,不合格
19990851,11,不合格
19990852,71,B
19990853,45,不合格
19990854,81,A
19990855,57,不合格
19990856,88,A
19990857,34,不合格
19990858,64,B
19990859,81,A
19990860,66,B
19990861,39,不合格
19990862,22,不合格
19990863,75,B
19990864,77,B
19990865,46,不合格
19990866,12,不合格
19990867,4,不合格
19990868,45,不合格
19990869,24,不合格
19990870,77,B
19990871,62,B
19990872,34,不合格
19990873,16,不合格
19990874,93,A
19990875,81,A
19990876,8,不合格
19990877,27,不合格
19990878,84,A
19990879,94,A
19990880,1,不合格
19990881,34,不合格
19990882,88,A
19990883,26,不合格
19990884,32,不合格
19990885,7,不合格
19990886,8,不合格
19990887,49,不合格
19990888,67,B
19990889,60,B
19990890,25,不合格
19990891,64,B
19990892,74,B
19990893,73,B
19990894,7,不合格
19990895,77,B
19990896,17,不合格
19990897,2,不合格
19990898,58,不合格
19990899,87,A
19990900,60,B
19990901,30,不合格
19990902,52,不合格
19990903,33,不合格
19990904,69,B
19990905,10,不合格
19990906,1,不合格
19990907,98,A
19990908,92,A
19990909,26,不合格
19990910,18,不合格
19990911,50,不合格
19990912,89,A
19990913,31,不合格
19990914,31,不合格
19990915,77,B
19990916,9,不合格
19990917,96,A
19990918,11,不合格
19990919,52,不合格
19990920,94,A
19990921,64,B
19990922,92,A
19990923,25,不合格
19990924,74,B
19990925,91,A
19990926,49,不合格
19990927,25,不合格
19990928,19,不合格
19990929,48,不合格
19990930,82,A
19990931,41,不合格
19990932,46,不合格
19990933,7,不合格
19990934,84,A
19990935,42,不合格
19990936,48,不合格
19990937,93,A
19990938,33,不合格
19990939,64,B
19990940,79,B
19990941,8,不合格
19990942,13,不合格
19990943,52,不合格
19990944,29,不合格
19990945,42,不合格
19990946,3,不合格
19990947,51,不合格
19990948,3,不合格
19990949,86,A
19990950,37,不合格
19990951,47,不合格
19990952,44,不合格
19990953,26,不合格
19990954,27,不合格
19990955,72,B
19990956,28,不合格
19990957,72,B
19990958,47,不合格
19990959,11,不合格
19990960,56,不合格
19990961,43,不合格
19990962,58,不合格
19990963,51,不合格
19990964,41,不合格
19990965,45,不合格
19990966,60,B
19990967,36,不合格
19990968,92,A
19990969,79,B
19990970,26,不合格
19990971,47,不合格
19990972,68,B
19990973,43,不合格
19990974,40,不合格
19990975,77,B
19990976,93,A
19990977,50,不合格
19990978,37,不合格
19990979,50,不合格
19990980,18,不合格
19990981,75,B
19990982,20,不合格
19990983,64,B
19990984,79,B
19990985,48,不合格
19990986,47,不合格
19990987,59,不合格
19990988,87,A
19990989,27,不合格
19990990,71,B
19990991,26,不合格
19990992,6,不合格
19990993,33,不合格
19990994,2,不合格
19990995,62,B
19990996,91,A
19990997,5,不合格
19990998,30,不合格
19990999,96,A
19991000,44,不合格
19991001,97,A
19991002,80,A
19991003,93,A
19991004,4,不合格
19991005,98,A
19991006,64,B
19991007,72,B
19991008,2,不合格
19991009,62,B
19991010,96,A
19991011,72,B
19991012,89,A
19991013,64,B
19991014,67,B
19991015,97,A
19991016,49,不合格
19991017,30,不合格
19991018,73,B
19991019,27,不合格
19991020,13,不合格
19991021,85,A
19991022,58,不合格
19991023,71,B
19991024,10,不合格
19991025,25,不合格
19991026,18,不合格
19991027,40,不合格
19991028,95,A
19991029,52,不合格
19991030,24,不合格
19991031,20,不合格
19991032,85,A
19991033,71,B
19991034,75,B
19991035,25,不合格
19991036,33,不合格
19991037,98,A
19991038,29,不合格
19991039,79,B
19991040,9,不合格
19991041,40,不合格
19991042,43,不合格
19991043,49,不合格
19991044,20,不合格
19991045,72,B
19991046,50,不合格
19991047,86,A
19991048,93,A
19991049,39,不合格
19991050,77,B
19991051,92,A
19991052,38,不合格
19991053,61,B
19991054,66,B
19991055,14,不合格
19991056,46,不合格
19991057,30,不合格
19991058,13,不合格
19991059,20,不合格
19991060,54,不合格
19991061,96,A
19991062,56,不合格
19991063,15,不合格
19991064,68,B
19991065,98,A
19991066,38,不合格
19991067,33,不合格
19991068,21,不合格
19991069,87,A
19991070,35,不合格
19991071,33,不合格
19991072,22,不合格
19991073,7,不合格
19991074,39,不合格
19991075,85,A
19991076,75,B
19991077,40,不合格
19991078,10,不合格
19991079,67,B
19991080,41,不合格
19991081,66,B
19991082,88,A
19991083,32,不合格
19991084,47,不合格
19991085,0,不合格
19991086,30,不合格
19991087,47,不合格
19991088,75,B
19991089,74,B
19991090,82,A
19991091,72,B
19991092,19,不合格
19991093,48,不合格
19991094,67,B
19991095,38,不合格
19991096,24,不合格
19991097,56,不合格
19991098,1,不合格
19991099,1,不合格
19991100,56,不合格
19991101,69,B
19991102,54,不合格
19991103,49,不合格
19991104,28,不合格
19991105,64,B
19991106,46,不合格
19991107,71,B
19991108,83,A
19991109,94,A
19991110,96,A
19991111,56,不合格
19991112,78,B
19991113,83,A
19991114,34,不合格
19991115,23,不合格
19991116,99,A
19991117,40,不合格
19991118,28,不合格
19991119,89,A
19991120,7,不合格
19991121,57,不合格
19991122,15,不合格
19991123,77,B
19991124,70,B
19991125,63,B
19991126,38,不合格
19991127,75,B
19991128,35,不合格
19991129,96,A
19991130,90,A
19991131,20,不合格
19991132,47,不合格
19991133,60,B
19991134,62,B
19991135,28,不合格
19991136,54,不合格
19991137,55,不合格
19991138,72,B
19991139,52,不合格
19991140,52,不合格
19991141,53,不合格
19991142,43,不合格
19991143,3,不合格
19991144,74,B
19991145,71,B
19991146,37,不合格
19991147,22,不合格
19991148,0,不合格
19991149,9,不合格
19991150,93,A
19991151,34,不合格
19991152,33,不合格
19991153,13,不合格
19991154,58,不合格
19991155,73,B
19991156,38,不合格
19991157,46,不合格
19991158,90,A
19991159,1,不合格
19991160,17,不合格
19991161,43,不合格
19991162,91,A
19991163,12,不合格
19991164,11,不合格
19991165,20,不合格
19991166,8,不合格
19991167,92,A
19991168,63,B
19991169,61,B
19991170,7,不合格
19991171,82,A
19991172,44,不合格
19991173,57,不合格
19991174,14,不合格
19991175,94,A
19991176,9,不合格
19991177,87,A
19991178,60,B
19991179,37,不合格
19991180,89,A
19991181,35,不合格
19991182,58,不合格
19991183,39,不合格
19991184,64,B
19991185,32,不合格
19991186,69,B
19991187,5,不合格
19991188,76,B
19991189,9,不合格
19991190,25,不合格
19991191,33,不合格
19991192,59,不合格
19991193,13,不合格
19991194,84,A
19991195,3,不合格
19991196,97,A
19991197,4,不合格
19991198,55,不合格
19991199,18,不合格
19991200,39,不合格
19991201,67,B
19991202,5,不合格
19991203,70,B
19991204,61,B
19991205,98,A
19991206,88,A
19991207,7,不合格
19991208,36,不合格
19991209,25,不合格
19991210,86,A
19991211,70,B
19991212,95,A
19991213,37,不合格
19991214,40,不合格
19991215,97,A
19991216,55,不合格
19991217,37,不合格
19991218,83,A
19991219,40,不合格
19991220,60,B
19991221,18,不合格
19991222,66,B
19991223,28,不合格
19991224,84,A
19991225,55,不合格
19991226,75,B
19991227,77,B
19991228,19,不合格
19991229,68,B
19991230,91,A
19991231,43,不合格
19991232,96,A
19991233,10,不合格
19991234,49,不合格
19991235,43,不合格
19991236,12,不合格
19991237,79,B
19991238,68,B
19991239,33,不合格
19991240,14,不合格
19991241,26,不合格
19991242,54,不合格
19991243,44,不合格
19991244,22,不合格
19991245,24,不合格
19991246,18,不合格
19991247,17,不合格
19991248,46,不合格
19991249,84,A
19991250,70,B
19991251,96,A
19991252,16,不合格
19991253,43,不合格
19991254,93,A
19991255,34,不合格
19991256,61,B
19991257,33,不合格
19991258,91,A
19991259,53,不合格
19991260,45,不合格
19991261,42,不合格
19991262,45,不合格
19991263,79,B
19991264,21,不合格
19991265,51,不合格
19991266,49,不合格
19991267,36,不合格
19991268,80,A
19991269,1,不合格
19991270,57,不合格
19991271,15,不合格
19991272,55,不合格
19991273,95,A
19991274,38,不合格
19991275,10,不合格
19991276,7,不合格
19991277,95,A
19991278,58,不合格
19991279,50,不合格
19991280,31,不合格
19991281,69,B
19991282,74,B
19991283,61,B
19991284,34,不合格
19991285,2,不合格
19991286,80,A
19991287,32,不合格
19991288,66,B
19991289,96,A
19991290,9,不合格
19991291,40,不合格
19991292,41,不合格
19991293,8,不合格
19991294,76,B
19991295,93,A
19991296,78,B
19991297,84,A
19991298,94,A
19991299,60,B
19991300,12,不合格
19991301,21,不合格
19991302,33,不合格
19991303,41,不合格
19991304,52,不合格
19991305,10,不合格
19991306,88,A
19991307,57,不合格
19991308,64,B
19991309,96,A
19991310,68,B
19991311,72,B
19991312,62,B
19991313,63,B
19991314,27,不合格
19991315,86,A
19991316,84,A
19991317,13,不合格
19991318,84,A
19991319,17,不合格
19991320,51,不合格
19991321,81,A
19991322,24,不合格
19991323,16,不合格
19991324,2,不合格
19991325,6,不合格
19991326,0,不合格
19991327,67,B
19991328,26,不合格
19991329,50,不合格
19991330,19,不合格
19991331,72,B
19991332,57,不合格
19991333,50,不合格
19991334,37,不合格
19991335,11,不合格
19991336,23,不合格
19991337,71,B
19991338,68,B
19991339,72,B
19991340,4,不合格
19991341,77,B
19991342,27,不合格
19991343,52,不合格
19991344,48,不合格
19991345,82,A
19991346,15,不合格
19991347,81,A
19991348,98,A
19991349,83,A
19991350,54,不合格
19991351,39,不合格
19991352,47,不合格
19991353,16,不合格
19991354,64,B
19991355,12,不合格
19991356,92,A
19991357,77,B
19991358,28,不合格
19991359,31,不合格
19991360,71,B
19991361,26,不合格
19991362,63,B
19991363,65,B
19991364,9,不合格
19991365,25,不合格
19991366,80,A
19991367,7,不合格
19991368,78,B
19991369,2,不合格
19991370,82,A
19991371,42,不合格
19991372,71,B
19991373,73,B
19991374,67,B
19991375,83,A
19991376,11,不合格
19991377,28,不合格
19991378,96,A
19991379,11,不合格
19991380,39,不合格
19991381,6,不合格
19991382,5,不合格
19991383,75,B
19991384,0,不合格
19991385,78,B
19991386,57,不合格
19991387,86,A
19991388,28,不合格
19991389,84,A
19991390,71,B
19991391,51,不合格
19991392,37,不合格
19991393,50,不合格
19991394,89,A
19991395,89,A
19991396,80,A
19991397,81,A
19991398,22,不合格
19991399,77,B
19991400,26,不合格
19991401,58,不合格
19991402,68,B
19991403,74,B
19991404,40,不合格
19991405,31,不合格
19991406,94,A
19991407,18,不合格
19991408,14,不合格
19991409,64,B
19991410,35,不合格
19991411,18,不合格
19991412,87,A
19991413,85,A
19991414,97,A
19991415,20,不合格
19991416,17,不合格
19991417,25,不合格
19991418,18,不合格
19991419,99,A
19991420,75,B
19991421,96,A
19991422,51,不合格
19991423,92,A
19991424,98,A
19991425,30,不合格
19991426,11,不合格
19991427,32,不合格
19991428,4,不合格
19991429,6,不合格
19991430,76,B
19991431,50,不合格
19991432,90,A
19991433,33,不合格
19991434,12,不合格
19991435,28,不合格
19991436,55,不合格
19991437,46,不合格
19991438,69,B
19991439,51,不合格
19991440,66,B
19991441,35,不合格
19991442,0,不合格
19991443,74,B
19991444,91,A
19991445,73,B
19991446,82,A
19991447,7,不合格
19991448,20,不合格
19991449,52,不合格
19991450,51,不合格
19991451,57,不合格
19991452,31,不合格
19991453,23,不合格
19991454,39,不合格
19991455,48,不合格
19991456,90,A
19991457,26,不合格
19991458,39,不合格
19991459,42,不合格
19991460,64,B
19991461,22,不合格
19991462,80,A
19991463,2,不合格
19991464,68,B
19991465,88,A
19991466,99,A
19991467,66,B
19991468,8,不合格
19991469,24,不合格
19991470,90,A
19991471,47,不合格
19991472,86,A
19991473,54,不合格
19991474,29,不合格
19991475,81,A
19991476,26,不合格
19991477,42,不合格
19991478,20,不合格
19991479,73,B
19991480,16,不合格
19991481,87,A
19991482,63,B
19991483,47,不合格
19991484,92,A
19991485,99,A
19991486,68,B
19991487,43,不合格
19991488,12,不合格
19991489,36,不合格
19991490,12,不合格
19991491,86,A
19991492,64,B
19991493,19,不合格
19991494,22,不合格
19991495,92,A
19991496,83,A
19991497,99,A
19991498,25,不合格
19991499,70,B
19991500,60,B
19991501,14,不合格
19991502,88,A
19991503,91,A
19991504,12,不合格
19991505,83,A
19991506,79,B
19991507,53,不合格
19991508,83,A
19991509,62,B
19991510,17,不合格
19991511,41,不合格
19991512,57,不合格
19991513,9,不合格
19991514,5,不合格
19991515,70,B
19991516,56,不合格
19991517,34,不合格
